1,4.75,4.74
2,4.78,4.77
3,4.79,4.78
4,4.79,4.78
7,4.79,4.78
8,4.79,4.78
9,4.8,4.79
10,4.8,4.79
11,4.81,4.8
14,4.81,4.8
15,4.81,4.8
16,4.83,4.82
17,4.84,4.83
18,4.84,4.83
21,4.84,4.83
22,4.84,4.83
23,4.84,4.83
24,4.85,4.84
25,4.84,4.83
28,4.81,4.8
29,4.79,4.78
30,4.78,4.77
31,4.78,4.77
32,4.78,4.77
35,4.77,4.76
36,4.73,4.72
37,4.73,4.72
38,4.76,4.75
39,4.76,4.75
42,4.74,4.73
43,4.74,4.73
44,4.76,4.75
45,4.74,4.73
46,4.76,4.75
51,4.74,4.73
52,4.73,4.72
53,4.73,4.72
57,4.73,4.71
58,4.72,4.71
59,4.7,4.69
60,4.69,4.68
63,4.69,4.68
64,4.69,4.68
65,4.71,4.7
66,4.71,4.7
67,4.71,4.7
70,4.72,4.71
71,4.72,4.71
72,4.74,4.73
73,4.79,4.78
74,4.82,4.81
77,4.79,4.78
78,4.82,4.81
79,4.86,4.85
80,4.87,4.86
81,4.89,4.88
84,4.91,4.9
85,4.93,4.92
86,4.93,4.92
87,4.94,4.93
88,4.93,4.92
92,4.89,4.88
93,4.91,4.9
98,4.89,4.88
99,4.88,4.87
100,4.89,4.88
101,4.91,4.9
102,4.93,4.92
105,4.95,4.94
106,5.01,4.99
107,5.02,5
108,5.02,5.01
109,5.02,5.01
112,5.04,5.03
113,5.13,5.11
114,5.14,5.12
115,5.1,5.08
116,5.09,5.07
121,5.08,5.06
122,5.05,5.03
123,5.04,5.02
126,5.05,5.03
127,5.06,5.04
128,5.08,5.06
129,5.1,5.08
130,5.18,5.16
133,5.28,5.26
134,5.55,5.52
135,5.49,5.46
136,5.59,5.56
137,5.63,5.6
140,5.72,5.69
141,5.94,5.9
142,6.15,6.11
143,5.93,5.9
147,5.89,5.85
148,5.91,5.87
149,5.9,5.88
150,5.92,5.9
151,5.95,5.93
154,5.9,5.85
162,5.92,5.87
163,5.92,5.87
164,5.93,5.89
165,5.93,5.89
168,5.92,5.88
169,5.94,5.9
171,5.98,5.96
172,5.98,5.96
175,5.98,5.95
176,5.94,5.92
177,5.95,5.93
178,5.98,5.96
179,5.95,5.93
182,5.96,5.94
183,5.96,5.94
184,5.96,5.94
185,5.96,5.94
186,5.96,5.94
190,5.97,5.95
191,6,5.98
192,6.1,6.08
193,6.17,6.14
196,6.31,6.28
197,6.6,6.55
198,6.74,6.7
199,6.6,6.57
200,6.45,6.4
203,6.42,6.37
204,6.43,6.39
205,6.45,6.41
206,6.42,6.38
207,6.45,6.41
210,6.37,6.34
211,6.32,6.29
212,6.27,6.24
213,6.21,6.18
214,6.2,6.17
217,6.21,6.18
218,6.26,6.23
219,6.26,6.23
220,6.26,6.23
221,6.27,6.24
224,6.28,6.25
225,6.3,6.27
226,6.32,6.29
227,6.33,6.3
228,6.33,6.3
232,6.35,6.32
233,6.4,6.37
234,6.42,6.39
235,6.41,6.38
238,6.38,6.36
239,6.36,6.34
240,6.37,6.35
241,6.37,6.35
242,6.37,6.35
245,6.34,6.32
246,6.35,6.33
247,6.35,6.33
248,6.34,6.32
249,6.33,6.31
252,6.33,6.31
253,6.3,6.28
254,6.32,6.3
255,6.3,6.28
256,6.31,6.29
261,6.31,6.29
262,6.32,6.3
263,6.32,6.3
267,6.32,6.3
268,6.29,6.27
269,6.3,6.28
270,6.3,6.28
273,6.26,6.24
274,6.26,6.24
275,6.25,6.23
276,6.19,6.17
277,6.18,6.16
281,6.2,6.18
282,6.21,6.19
283,6.21,6.19
284,6.2,6.18
287,6.2,6.18
288,6.22,6.2
289,6.33,6.31
290,6.32,6.3
291,6.31,6.29
294,6.28,6.26
295,6.32,6.3
296,6.37,6.35
297,6.37,6.35
298,6.38,6.36
301,6.35,6.33
302,6.36,6.34
303,6.34,6.32
304,6.34,6.32
305,6.33,6.31
308,6.34,6.32
310,6.3,6.28
311,6.33,6.31
312,6.33,6.31
315,6.32,6.3
316,6.32,6.3
317,6.35,6.33
318,6.35,6.33
319,6.4,6.38
322,6.36,6.34
323,6.36,6.34
324,6.38,6.36
325,6.41,6.39
326,6.46,6.44
330,6.45,6.43
331,6.47,6.45
332,6.44,6.42
333,6.44,6.42
336,6.44,6.42
337,6.44,6.42
338,6.44,6.42
339,6.44,6.42
340,6.47,6.45
343,6.45,6.43
344,6.44,6.42
345,6.48,6.46
346,6.52,6.5
347,6.53,6.51
350,6.52,6.5
351,6.53,6.51
352,6.55,6.53
353,6.63,6.61
354,6.61,6.59
359,6.64,6.62
360,6.78,6.76
361,6.8,6.78
364,6.8,6.78
366,6.91,6.89
367,7.07,7.05
368,7.04,7.02
371,7.04,7.02
372,7.05,7.03
373,7.12,7.1
374,7.25,7.22
375,7.2,7.18
378,7.25,7.23
379,7.36,7.34
380,7.5,7.47
381,7.51,7.49
382,7.48,7.46
385,7.44,7.42
386,7.43,7.41
387,7.52,7.5
388,7.56,7.54
389,7.62,7.6
392,7.66,7.64
393,7.8,7.77
394,7.92,7.89
396,7.92,7.9
399,7.72,7.7
400,7.59,7.56
401,7.7,7.68
402,7.68,7.65
403,7.67,7.65
408,7.65,7.63
409,7.66,7.64
410,7.71,7.69
413,7.7,7.68
414,7.81,7.79
416,7.83,7.81
417,7.8,7.78
420,7.78,7.76
421,7.82,7.8
422,7.82,7.8
423,7.84,7.82
424,7.84,7.82
427,7.82,7.8
428,7.82,7.8
429,7.83,7.81
430,7.82,7.8
431,7.83,7.81
434,7.82,7.8
435,7.84,7.82
436,7.92,7.9
437,7.99,7.97
438,8.05,8.03
441,8.08,8.06
442,8.27,8.25
443,8.75,8.67
444,8.45,8.4
445,8.48,8.42
448,8.27,8.22
449,8.3,8.25
450,8.43,8.38
457,8.3,8.25
458,8.32,8.3
459,8.4,8.37
462,8.33,8.3
463,8.37,8.34
464,8.39,8.37
465,8.44,8.42
466,8.43,8.41
469,8.42,8.4
470,8.52,8.5
471,8.7,8.67
472,8.66,8.63
473,8.63,8.6
476,8.67,8.63
477,8.86,8.82
478,8.94,8.91
479,9.2,9.16
480,9.34,9.3
483,9.3,9.27
484,9.4,9.37
486,9.63,9.6
487,9.88,9.84
